State,Abv,Date,Tested,Positive,Deaths,Mortality Rate,Happiness Rank,totalScore,Emotional/Physical Rank,Work Enviroment Rank,Community Enviroment Rank,Happiness Rank Inv,Emotional/Physical Rank Inv,Work Enviroment Rank Inv,Community Enviroment Rank Inv,State Population
Alaska,AK,2020-07-25 07:10:21,200572.0,1693.0,19.0,1.1222681630242175,47.0,38.21,33.0,49.0,50.0,3.0,17.0,1.0,0.0,738516.0
Alabama,AL,2020-07-25 07:10:21,627344.0,74365.0,1395.0,1.8758824715928195,45.0,39.35,46.0,39.0,43.0,5.0,4.0,11.0,7.0,4864680.0
Arkansas,AR,2020-07-22 05:16:54,439635.0,34655.0,374.0,1.0792093493002453,49.0,36.61,50.0,29.0,23.0,1.0,0.0,21.0,27.0,2990671.0
Arizona,AZ,2020-07-25 07:23:41,1053832.0,156301.0,3142.0,2.01022386293114,21.0,52.92,27.0,12.0,34.0,29.0,23.0,38.0,16.0,6946685.0
California,CA,2020-07-25 07:23:41,6915876.0,435334.0,8186.0,1.8803952827024768,5.0,63.14,4.0,24.0,12.0,45.0,46.0,26.0,38.0,39148760.0
Colorado,CO,2020-07-25 07:10:21,476586.0,42980.0,1598.0,3.7180083759888323,18.0,55.38,19.0,3.0,46.0,32.0,31.0,47.0,4.0,5531141.0
Connecticut,CT,2020-07-22 05:16:54,660857.0,48096.0,4406.0,9.160844976713241,12.0,58.24,9.0,40.0,18.0,38.0,41.0,10.0,32.0,3581504.0
Delaware,DE,2020-07-22 05:16:54,158347.0,13746.0,525.0,3.8192928852029686,27.0,51.67,17.0,37.0,45.0,23.0,33.0,13.0,5.0,949495.0
Florida,FL,2020-07-25 07:23:41,3276636.0,402312.0,5653.0,1.4051283580902385,29.0,51.01,20.0,20.0,47.0,21.0,30.0,30.0,3.0,20598139.0
Georgia,GA,2020-07-25 07:23:41,1382444.0,161401.0,3442.0,2.132576625919294,19.0,55.15,25.0,16.0,7.0,31.0,25.0,34.0,43.0,10297484.0
Hawaii,HI,2020-07-22 05:16:54,108182.0,1418.0,24.0,1.6925246826516216,1.0,68.27,1.0,30.0,4.0,49.0,49.0,20.0,46.0,1422029.0
Iowa,IA,2020-07-22 05:16:54,426676.0,39721.0,808.0,2.0341884645401684,8.0,61.07,8.0,18.0,11.0,42.0,42.0,32.0,39.0,3132499.0
Idaho,ID,2020-07-25 07:10:21,62642.0,17264.0,144.0,0.8341056533827619,6.0,63.09,24.0,2.0,1.0,44.0,26.0,48.0,49.0,1687809.0
Illinois,IL,2020-07-25 07:23:41,2432523.0,168457.0,7385.0,4.383908059623525,23.0,52.47,12.0,45.0,44.0,27.0,38.0,5.0,6.0,12821497.0
Indiana,IN,2020-07-24 07:00:19,666283.0,59602.0,2683.0,4.5015267944028725,32.0,50.2,32.0,22.0,25.0,18.0,18.0,28.0,25.0,6637426.0
