,State,Date,Tested,Positive,Deaths,Mortality Rate
0,AK,2020-07-25 07:10:21,200572.0,1693.0,19.0,1.1222681630242175
1,AL,2020-07-25 07:10:21,627344.0,74365.0,1395.0,1.8758824715928193
2,AR,2020-07-22 05:16:54,439635.0,34655.0,374.0,1.0792093493002453
3,AZ,2020-07-25 07:23:41,1053832.0,156301.0,3142.0,2.0102238629311393
4,CA,2020-07-25 07:23:41,6915876.0,435334.0,8186.0,1.8803952827024766
5,CO,2020-07-25 07:10:21,476586.0,42980.0,1598.0,3.7180083759888323
6,CT,2020-07-22 05:16:54,660857.0,48096.0,4406.0,9.160844976713241
7,DC,2020-07-25 07:10:21,165260.0,11649.0,581.0,4.987552579620568
8,DE,2020-07-22 05:16:54,158347.0,13746.0,525.0,3.8192928852029686
9,FL,2020-07-25 07:23:41,3276636.0,402312.0,5653.0,1.4051283580902385
10,GA,2020-07-25 07:23:41,1382444.0,161401.0,3442.0,2.132576625919294
11,HI,2020-07-22 05:16:54,108182.0,1418.0,24.0,1.692524682651622
12,IA,2020-07-22 05:16:54,426676.0,39721.0,808.0,2.0341884645401676
13,ID,2020-07-25 07:10:21,62642.0,17264.0,144.0,0.8341056533827619
14,IL,2020-07-25 07:23:41,2432523.0,168457.0,7385.0,4.383908059623525
15,IN,2020-07-24 07:00:19,666283.0,59602.0,2683.0,4.5015267944028725
16,KS,2020-07-22 05:16:54,261531.0,23334.0,307.0,1.3156766949515728
17,KY,2020-07-25 07:10:21,574233.0,24615.0,691.0,2.8072313629900467
18,LA,2020-07-25 07:23:41,1199726.0,103734.0,3603.0,3.4733067268205216
19,MA,2020-07-25 07:23:41,1092392.0,109974.0,8279.0,7.5281430156218745
20,MD,2020-07-25 07:10:21,804350.0,81766.0,3422.0,4.185113616906783
21,ME,2020-07-22 05:16:54,103061.0,3723.0,118.0,3.1694869728713404
22,MI,2020-07-25 07:23:41,1637017.0,85072.0,6400.0,7.523039307880383
23,MN,2020-07-25 07:10:21,922876.0,49488.0,1566.0,3.164403491755577
24,MO,2020-07-22 05:16:54,580320.0,34762.0,1143.0,3.288073183361141
25,MS,2020-07-25 07:10:21,426320.0,49663.0,1463.0,2.9458550631254656
26,MT,2020-07-25 07:10:21,149200.0,3039.0,46.0,1.5136558078315236
27,NC,2020-07-22 05:16:54,1458997.0,102861.0,1668.0,1.62160585644705
28,ND,2020-07-25 07:10:21,103925.0,5614.0,99.0,1.7634485215532596
29,NE,2020-07-22 05:16:54,242889.0,23190.0,310.0,1.336783096162139
30,NH,2020-07-25 07:10:21,91917.0,6375.0,407.0,6.384313725490196
31,NJ,2020-07-25 07:23:41,1859638.0,178345.0,13845.0,7.763043539207716
32,NM,2020-07-25 07:10:21,505177.0,18475.0,601.0,3.253044654939107
33,NV,2020-07-22 05:16:54,503464.0,37528.0,676.0,1.801321679812407
34,NY,2020-07-25 07:23:41,5444845.0,410450.0,25090.0,6.112803021074431
35,OH,2020-07-25 07:10:21,509699.0,81746.0,3297.0,4.033224867271793
36,OK,2020-07-25 07:10:21,518134.0,29116.0,484.0,1.6623162522324497
37,OR,2020-07-22 05:16:54,344479.0,15139.0,269.0,1.7768676927141818
38,PA,2020-07-25 07:23:41,1101979.0,102602.0,7101.0,6.920917720902127
39,RI,2020-07-22 05:16:54,317544.0,17986.0,996.0,5.537640386967642
40,SC,2020-07-22 05:16:54,598457.0,73337.0,1221.0,1.664916754162292
41,SD,2020-07-22 05:16:54,99845.0,8019.0,118.0,1.4715051752088788
42,TN,2020-07-25 07:10:21,1321707.0,89078.0,925.0,1.038415770448371
43,TX,2020-07-25 07:23:41,3231931.0,369826.0,4717.0,1.2754646779837004
44,UT,2020-07-22 05:16:54,561500.0,35012.0,251.0,0.7168970638638181
45,VA,2020-07-22 05:16:54,937148.0,79371.0,2048.0,2.580287510551713
46,VT,2020-07-22 05:16:54,84947.0,1366.0,56.0,4.099560761346998
47,WA,2020-07-25 07:10:21,883982.0,50824.0,1495.0,2.9415236895954666
48,WI,2020-07-22 05:16:54,794697.0,44135.0,859.0,1.9463011215588535
49,WV,2020-07-22 05:16:54,240201.0,5199.0,101.0,1.9426812848624735
50,WY,2020-07-25 07:10:21,66158.0,1972.0,25.0,1.2677484787018256
